Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;36.797,64;36.727,10;36.865,37;37.100,68;;;;;;;;
2;36.805,92;36.721,16;36.874,24;37.107,84;;;;;;;;
3;36.814,21;36.715,22;36.883,11;37.115,00;;;;;;;;
4;36.822,49;36.709,29;36.891,98;37.122,16;;;;;;;;
5;36.830,78;36.703,35;36.900,86;37.129,33;;;;;;;;
6;36.839,07;36.697,42;36.909,73;37.136,49;;;;;;;;
7;36.847,36;36.691,48;36.918,61;37.143,66;;;;;;;;
8;36.855,65;36.685,55;36.927,49;37.150,83;;;;;;;;
9;36.863,94;36.679,62;36.936,38;37.158,00;;;;;;;;
10;36.857,98;36.688,44;36.943,51;;;;;;;;;
11;36.852,02;36.697,27;36.950,64;;;;;;;;;
12;36.846,06;36.706,10;36.957,77;;;;;;;;;
13;36.840,10;36.714,93;36.964,90;;;;;;;;;
14;36.834,15;36.723,76;36.972,04;;;;;;;;;
15;36.828,19;36.732,60;36.979,17;;;;;;;;;
16;36.822,24;36.741,43;36.986,31;;;;;;;;;
17;36.816,29;36.750,27;36.993,44;;;;;;;;;
18;36.810,33;36.759,11;37.000,58;;;;;;;;;
19;36.804,38;36.767,95;37.007,72;;;;;;;;;
20;36.798,43;36.776,80;37.014,87;;;;;;;;;
21;36.792,48;36.785,65;37.022,01;;;;;;;;;
22;36.786,53;36.794,50;37.029,16;;;;;;;;;
23;36.780,58;36.803,35;37.036,30;;;;;;;;;
24;36.774,64;36.812,20;37.043,45;;;;;;;;;
25;36.768,69;36.821,06;37.050,60;;;;;;;;;
26;36.762,75;36.829,92;37.057,75;;;;;;;;;
27;36.756,80;36.838,78;37.064,90;;;;;;;;;
28;36.750,86;36.847,64;37.072,05;;;;;;;;;
29;36.744,92;36.856,50;37.079,21;;;;;;;;;
30;36.738,98;;37.086,36;;;;;;;;;
31;36.733,04;;37.093,52;;;;;;;;;
